"Name"	"File Extension"	"File Type"	"Is Deleted"	"Last Accessed"	"File Created"	"Last Modified"	"Size"	"Address"	"Hash Value"	"Known Status"	"Permissions"	"Full Path"
"f_000008"	""	"r"	""	"2014-08-25 15:35:46 CDT"	"2014-08-25 15:35:46 CDT"	"2014-07-25 11:59:55 CDT"	"63402"	"688"	"6519db3bfb2c916563d45da953ebdc38"	"unknown"	"rrwxrwxrwx"	"/img_InCh05.img/Users/Denise/AppData/Local/Google/Chrome/User Data/Default/Cache/f_000008"
"f_000008-slack"	""	"r"	""	"2014-08-25 15:35:46 CDT"	"2014-08-25 15:35:46 CDT"	"2014-07-25 11:59:55 CDT"	"2134"	"688"	"null"	"unknown"	"rrwxrwxrwx"	"/img_InCh05.img/Users/Denise/AppData/Local/Google/Chrome/User Data/Default/Cache/f_000008-slack"
"f_000009"	""	"r"	""	"2014-08-25 15:35:46 CDT"	"2014-08-25 15:35:46 CDT"	"2014-07-25 11:59:55 CDT"	"20361"	"689"	"73959a90ba3b8cda848127a7f2f3c4f3"	"unknown"	"rrwxrwxrwx"	"/img_InCh05.img/Users/Denise/AppData/Local/Google/Chrome/User Data/Default/Cache/f_000009"
"f_000009-slack"	""	"r"	""	"2014-08-25 15:35:46 CDT"	"2014-08-25 15:35:46 CDT"	"2014-07-25 11:59:55 CDT"	"119"	"689"	"null"	"unknown"	"rrwxrwxrwx"	"/img_InCh05.img/Users/Denise/AppData/Local/Google/Chrome/User Data/Default/Cache/f_000009-slack"
"f_00000a"	""	"r"	""	"2014-08-25 15:35:46 CDT"	"2014-08-25 15:35:46 CDT"	"2014-07-25 11:59:55 CDT"	"40133"	"690"	"f3b676ffd724d2ee096f2a9f82c73f25"	"unknown"	"rrwxrwxrwx"	"/img_InCh05.img/Users/Denise/AppData/Local/Google/Chrome/User Data/Default/Cache/f_00000a"
"f_00000a-slack"	""	"r"	""	"2014-08-25 15:35:46 CDT"	"2014-08-25 15:35:46 CDT"	"2014-07-25 11:59:55 CDT"	"827"	"690"	"null"	"unknown"	"rrwxrwxrwx"	"/img_InCh05.img/Users/Denise/AppData/Local/Google/Chrome/User Data/Default/Cache/f_00000a-slack"
"f_00000b"	""	"r"	""	"2014-08-25 15:35:46 CDT"	"2014-08-25 15:35:46 CDT"	"2014-07-25 11:59:56 CDT"	"279977"	"691"	"a66f1cd439543b8bea7a7ffd5d105835"	"unknown"	"rrwxrwxrwx"	"/img_InCh05.img/Users/Denise/AppData/Local/Google/Chrome/User Data/Default/Cache/f_00000b"
"f_00000b-slack"	""	"r"	""	"2014-08-25 15:35:46 CDT"	"2014-08-25 15:35:46 CDT"	"2014-07-25 11:59:56 CDT"	"2647"	"691"	"null"	"unknown"	"rrwxrwxrwx"	"/img_InCh05.img/Users/Denise/AppData/Local/Google/Chrome/User Data/Default/Cache/f_00000b-slack"
"f_00000c"	""	"r"	""	"2014-08-25 15:35:46 CDT"	"2014-08-25 15:35:46 CDT"	"2014-07-25 11:59:58 CDT"	"49354"	"692"	"ae129ba388e1dff7a4fd82fc3d290044"	"unknown"	"rrwxrwxrwx"	"/img_InCh05.img/Users/Denise/AppData/Local/Google/Chrome/User Data/Default/Cache/f_00000c"
"f_00000c-slack"	""	"r"	""	"2014-08-25 15:35:46 CDT"	"2014-08-25 15:35:46 CDT"	"2014-07-25 11:59:58 CDT"	"3894"	"692"	"null"	"unknown"	"rrwxrwxrwx"	"/img_InCh05.img/Users/Denise/AppData/Local/Google/Chrome/User Data/Default/Cache/f_00000c-slack"
